Value of Perplexity at iteration 0 is 183810.999998
Value of New Perplexity at iteration 1 is 79669.9231957
Value of New Perplexity at iteration 2 is 86267.6741024
Value of New Perplexity at iteration 3 is 72260.3536067
Value of New Perplexity at iteration 4 is 75132.4076593
Value of New Perplexity at iteration 5 is 68932.6029131
Value of New Perplexity at iteration 6 is 71197.8334108
Value of New Perplexity at iteration 7 is 67782.5377845
Value of New Perplexity at iteration 8 is 69379.5774141
Value of New Perplexity at iteration 9 is 67383.7075589
Value of New Perplexity at iteration 10 is 68477.8018834
Value of New Perplexity at iteration 11 is 67207.1847963
Value of New Perplexity at iteration 12 is 68004.1538837
Value of New Perplexity at iteration 13 is 67138.9553795
Value of New Perplexity at iteration 14 is 67708.2593908
Value of New Perplexity at iteration 15 is 67131.6639346
Value of New Perplexity at iteration 16 is 67524.4769137
Value of New Perplexity at iteration 17 is 67132.1110911
Value of New Perplexity at iteration 18 is 67413.7101219
Value of New Perplexity at iteration 19 is 67138.8498145
Value of New Perplexity at iteration 20 is 67339.825439
Value of New Perplexity at iteration 21 is 67149.7850062
Value of New Perplexity at iteration 22 is 67290.830658
Value of New Perplexity at iteration 23 is 67158.762079
Value of New Perplexity at iteration 24 is 67259.2257454
Value of New Perplexity at iteration 25 is 67166.0293807
Value of New Perplexity at iteration 26 is 67237.7802261
Value of New Perplexity at iteration 27 is 67172.3205073
Value of New Perplexity at iteration 28 is 67223.127439
Value of New Perplexity at iteration 29 is 67177.1443729
Value of New Perplexity at iteration 30 is 67213.3194518
Value of New Perplexity at iteration 31 is 67180.7511381
Value of New Perplexity at iteration 32 is 67206.5975774
Value of New Perplexity at iteration 33 is 67183.5491212
Value of New Perplexity at iteration 34 is 67201.9331033
Value of New Perplexity at iteration 35 is 67185.6323888
Value of New Perplexity at iteration 36 is 67198.7420931
Value of New Perplexity at iteration 37 is 67187.1593955
Value of New Perplexity at iteration 38 is 67196.5257185
Value of New Perplexity at iteration 39 is 67188.2983335
Value of New Perplexity at iteration 40 is 67194.9793762
Value of New Perplexity at iteration 41 is 67189.1321605
Value of New Perplexity at iteration 42 is 67193.9036297
Value of New Perplexity at iteration 43 is 67189.740378
Value of New Perplexity at iteration 44 is 67193.1507383
Value of New Perplexity at iteration 45 is 67190.1847357
Value of New Perplexity at iteration 46 is 67192.621374
Value of New Perplexity at iteration 47 is 67190.5078833
Value of New Perplexity at iteration 48 is 67192.250355
Value of New Perplexity at iteration 49 is 67190.7423803
Value of New Perplexity at iteration 50 is 67191.9887961
Value of New Perplexity at iteration 51 is 67190.912902
Value of New Perplexity at iteration 52 is 67191.804427
Value of New Perplexity at iteration 53 is 67191.036087
Value of New Perplexity at iteration 54 is 67191.6743361
